t,y
1.220,1.768
1.222,1.767
1.223,1.767
1.223,1.767
1.225,1.766
1.225,1.766
1.227,1.765
1.228,1.765
1.228,1.765
1.230,1.764
1.230,1.764
1.232,1.764
1.233,1.763
1.233,1.763
1.235,1.762
1.235,1.762
1.236,1.762
1.238,1.761
1.238,1.761
1.240,1.761
1.241,1.760
1.241,1.760
1.243,1.759
1.243,1.759
1.245,1.759
1.246,1.758
1.246,1.758
1.248,1.758
1.248,1.757
1.250,1.757
1.251,1.757
1.251,1.756
1.253,1.756
1.253,1.755
1.255,1.755
1.256,1.755
1.256,1.754
1.258,1.754
1.258,1.754
1.260,1.753
1.261,1.753
1.261,1.752
1.263,1.752
1.264,1.752
1.265,1.751
1.266,1.751
1.266,1.751
1.268,1.750
1.269,1.750
1.269,1.749
1.271,1.749
1.271,1.749
1.273,1.748
1.274,1.748
1.274,1.748
1.276,1.747
1.276,1.747
1.278,1.746
1.279,1.746
1.279,1.746
1.281,1.745
1.281,1.745
1.283,1.745
1.284,1.744
1.284,1.744
1.286,1.743
1.286,1.743
1.288,1.743
1.289,1.742
1.289,1.742
1.291,1.742
1.292,1.741
1.292,1.741
1.294,1.740
1.294,1.740
1.296,1.740
1.297,1.739
1.297,1.739
1.299,1.739
1.299,1.738
1.301,1.738
1.302,1.737
1.302,1.737
1.304,1.737
1.304,1.736
1.306,1.736
1.307,1.736
1.307,1.735
1.309,1.735
1.309,1.734
1.311,1.734
1.312,1.734
1.312,1.733
1.314,1.733
1.315,1.733
1.316,1.732
1.317,1.732
1.317,1.732
1.319,1.731
1.320,1.731
1.320,1.730
1.322,1.730
1.322,1.730
1.324,1.729
1.325,1.729
1.325,1.729
1.327,1.728
1.327,1.728
1.329,1.727
1.330,1.727
1.330,1.727
1.332,1.726
1.332,1.726
1.334,1.726
1.335,1.725
1.335,1.725
1.337,1.724
1.338,1.724
1.339,1.724
1.340,1.723
1.340,1.723
1.342,1.723
1.343,1.722
1.343,1.722
1.345,1.721
1.345,1.721
1.347,1.721
1.348,1.720
1.348,1.720
1.350,1.720
1.350,1.719
1.352,1.719
1.353,1.719
1.353,1.718
1.355,1.718
1.355,1.717
1.357,1.717
1.358,1.717
1.358,1.716
1.360,1.716
1.360,1.716
1.362,1.715
1.363,1.715
1.363,1.714
1.365,1.714
1.366,1.714
1.366,1.713
1.368,1.713
1.368,1.713
1.370,1.712
1.371,1.712
1.371,1.711
1.373,1.711
1.373,1.711
1.375,1.710
1.376,1.710
1.376,1.710
1.378,1.709
1.378,1.709
1.380,1.709
1.381,1.708
1.381,1.708
1.383,1.707
1.383,1.707
1.385,1.707
1.386,1.706
1.386,1.706
1.388,1.706
1.389,1.705
1.390,1.705
1.391,1.704
1.391,1.704
1.393,1.704
1.394,1.703
1.394,1.703
1.396,1.703
1.396,1.702
1.398,1.702
1.399,1.702
1.399,1.701
1.401,1.701
1.401,1.700
1.403,1.700
1.404,1.700
1.404,1.699
1.406,1.699
1.406,1.699
1.408,1.698
1.409,1.698
1.409,1.697
1.411,1.697
1.411,1.697
1.413,1.696
1.414,1.696
1.414,1.696
1.416,1.695
1.417,1.695
1.417,1.695
1.419,1.694
1.419,1.694
1.421,1.693
1.422,1.693
1.422,1.693
1.424,1.692
1.424,1.692
1.426,1.692
1.427,1.691
